Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2016 03 14 10 11 57    26.9     3.1   0.879   0.2   0.1   0.0  32.7  28.8   0.0 107  97   0  31  30  24   0  264.5   3.2  -2.4  0.0  0.0  0.0  22.23     1.1468    0.002  13.4   1.5 119.5   27.08    83.4      -1.0000       0.0000
2016 03 14 10 16 56    25.9     3.3   0.877   0.2   0.1   0.0  32.7  30.1   0.0 107  99   0  31  29  24   0  264.5   3.2  -2.4  0.0  0.0  0.0  22.23     1.1460    0.004  13.8   1.5 119.5   26.11    82.7      -1.0000       0.0000
2016 03 14 10 21 57    26.2     3.1   0.876   0.2   0.0   0.0  31.8  29.2   0.0 105  98   0  31  30  24   0  264.5   3.2  -2.4  0.0  0.0  0.0  22.24     1.1440    0.003  13.8   1.5 119.5   26.38    83.3      -1.0000       0.0000
2016 03 14 10 26 57    27.2     3.0   0.874   0.2   0.0   0.0  32.7  28.8   0.0 106  98   0  30  31  24   0  264.5   3.2  -2.4  0.0  0.0  0.0  22.23     1.1417    0.002  13.8   1.5 119.5   27.36    83.7      -1.0000       0.0000
2016 03 14 10 31 57    27.9     3.3   0.874   0.2   0.0   0.0  32.3  29.2   0.0 105  98   0  30  30  24   0  264.5   3.2  -2.4  0.0  0.0  0.0  22.24     1.1421    0.002  13.8   1.5 119.5   28.09    83.3      -1.0000       0.0000
2016 03 14 10 36 57    28.2     2.9   0.872   0.2   0.0   0.0  34.4  29.2   0.0 111  99   0  31  31  24   0  264.5   3.2  -2.4  0.0  0.0  0.0  22.25     1.1397    0.003  13.8   1.5 119.5   28.35    84.1      -1.0000       0.0000
2016 03 14 10 41 57    27.8     3.1   0.870   0.3   0.1   0.0  34.4  30.1   0.0 111 100   0  31  30  25   0  264.5   3.2  -2.4  0.0  0.0  0.0  22.26     1.1381    0.004  13.6   1.5 119.5   27.97    83.6      -1.0000       0.0000
2016 03 14 10 46 57    27.5     3.0   0.873   0.3   0.1   0.0  34.8  29.2   0.0 111  98   0  30  30  24   0  264.5   3.2  -2.4  0.0  0.0  0.0  22.26     1.1389    0.003  13.6   1.5 119.5   27.66    83.8      -1.0000       0.0000
2016 03 14 10 51 57    26.6     2.4   0.872   0.3   0.1   0.0  34.8  29.2   0.0 112  98   0  31  30  24   0  264.5   3.2  -2.4  0.0  0.0  0.0  22.27     1.1385    0.004  13.8   1.5 119.5   26.71    84.8      -1.0000       0.0000
2016 03 14 10 56 57    26.2     2.4   0.870   0.2   0.0   0.0  34.4  29.2   0.0 111  98   0  31  30  24   0  264.5   3.2  -2.4  0.0  0.0  0.0  22.28     1.1361    0.004  13.8   1.5 119.5   26.31    84.8      -1.0000       0.0000
2016 03 14 11 01 57    28.2     3.4   0.873   0.2   0.0   0.0  36.1  26.7   0.0 116 103   0  32  41  25   0  264.5   3.2  -2.4  0.0  0.0  0.0  22.29     1.1369    0.004  13.6   1.5 119.5   28.40    83.1      -1.0000       0.0000
2016 03 14 11 06 57    27.8     2.2   0.871   0.2   0.1   0.0  34.0  29.2   0.0 110  98   0  31  30  24   0  264.6   3.2  -2.4  0.0  0.0  0.0  22.29     1.1337    0.004  13.6   1.5 119.5   27.89    85.5      -1.0000       0.0000
