Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2019 01 07 10 32 29    12.8     1.3   0.911   0.3   0.1   0.0  38.3  40.9   0.0 119 124   0  30  29  23   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.59     0.7006    0.003  13.0   1.5 120.0   12.87    84.2      -1.0000       0.0000
2019 01 07 10 34 29    14.5     1.0   0.913   0.3   0.1   0.0  39.1  40.9   0.0 121 124   0  30  29  23   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.60     0.6994    0.003  13.0   1.5 120.0   14.53    86.1      -1.0000       0.0000
2019 01 07 10 36 29    12.0     1.4   0.909   0.3   0.1   0.0  38.7  41.3   0.0 120 124   0  30  28  23   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.61     0.6982    0.003  13.0   1.5 120.0   12.08    83.3      -1.0000       0.0000
2019 01 07 10 38 29    13.8     1.7   0.908   0.2   0.0   0.0  38.3  40.0   0.0 119 122   0  30  29  24   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.61     0.6970    0.003  13.0   1.5 120.0   13.90    83.0      -1.0000       0.0000
2019 01 07 10 40 29    13.1     2.0   0.908   0.3   0.1   0.0  37.8  39.6   0.0 118 121   0  30  29  23   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.62     0.6974    0.003  13.0   1.5 120.0   13.25    81.3      -1.0000       0.0000
2019 01 07 10 42 29    13.3     2.1   0.907   0.3   0.1   0.0  37.8  40.4   0.0 118 122   0  30  28  23   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.63     0.6970    0.003  13.0   1.5 120.0   13.46    81.0      -1.0000       0.0000
2019 01 07 10 44 29    13.1     2.3   0.909   0.3   0.1   0.0  37.8  40.0   0.0 118 122   0  30  29  23   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.63     0.6986    0.003  13.0   1.5 120.0   13.30    80.0      -1.0000       0.0000
2019 01 07 10 46 29    12.7     2.0   0.910   0.3   0.1   0.0  37.8  40.4   0.0 118 123   0  30  29  23   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.64     0.6986    0.004  13.0   1.5 120.0   12.86    81.1      -1.0000       0.0000
2019 01 07 10 48 29    11.7     2.9   0.910   0.3   0.1   0.0  37.8  40.0   0.0 118 122   0  30  29  23   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.65     0.6990    0.003  13.0   1.5 120.0   12.05    76.1      -1.0000       0.0000
2019 01 07 10 50 29    11.8     3.0   0.912   0.2   0.1   0.0  37.8  40.0   0.0 118 122   0  30  29  23   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.65     0.7006    0.003  13.0   1.5 120.0   12.18    75.7      -1.0000       0.0000
2019 01 07 10 52 29    11.3     2.8   0.912   0.3   0.1   0.0  37.8  40.9   0.0 118 123   0  30  28  23   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.66     0.7006    0.003  13.0   1.5 120.0   11.64    76.1      -1.0000       0.0000
2019 01 07 10 54 29    12.4     2.5   0.913   0.3   0.1   0.0  38.3  40.0   0.0 119 122   0  30  29  23   0  259.8  -2.0  -2.4  0.0  0.0  0.0  25.66     0.7029    0.003  13.0   1.5 120.0   12.65    78.6      -1.0000       0.0000
