Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2016 05 03 10 20 27   101.0    12.2   1.614   0.3   0.1   0.0  28.0  24.9   0.0 104 103   0  39  45  25   0  261.4   2.8  -2.0  0.0  0.0  0.0  14.70     1.8843    0.003  12.0   1.5 119.5  101.73    83.1      -1.0000       0.0000
2016 05 03 10 25 27   102.0    12.0   1.614   0.3   0.1   0.0  28.0  24.9   0.0 104 103   0  39  45  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.70     1.8824    0.005  12.2   1.5 119.5  102.70    83.3      -1.0000       0.0000
2016 05 03 10 30 27   100.8    12.1   1.614   0.3   0.1   0.0  28.0  24.9   0.0 104 103   0  39  45  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.69     1.8812    0.003  12.2   1.5 119.5  101.52    83.2      -1.0000       0.0000
2016 05 03 10 35 27   102.9    10.9   1.614   0.3   0.1   0.0  28.4  26.2   0.0 106 104   0  40  43  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.69     1.8808    0.004  12.4   1.5 119.5  103.48    84.0      -1.0000       0.0000
2016 05 03 10 40 27   101.9    11.8   1.614   0.3   0.1   0.0  28.8  25.8   0.0 106 103   0  39  43  25   0  261.6   2.8  -2.0  0.0  0.0  0.0  14.69     1.8776    0.004  12.4   1.5 119.5  102.58    83.4      -1.0000       0.0000
2016 05 03 10 45 27   101.7    12.4   1.614   0.3   0.1   0.0  29.2  26.7   0.0 108 105   0  40  43  26   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.68     1.8752    0.005  12.4   1.5 119.5  102.45    83.0      -1.0000       0.0000
2016 05 03 10 50 27   102.7    11.8   1.613   0.3   0.1   0.0  30.1  26.2   0.0 109 105   0  39  44  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.68     1.8760    0.004  12.4   1.5 119.5  103.38    83.4      -1.0000       0.0000
2016 05 03 10 55 27   101.4    12.3   1.611   0.3   0.1   0.0  28.0  25.8   0.0 106 104   0  41  44  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.67     1.8721    0.004  12.6   1.5 119.5  102.14    83.1      -1.0000       0.0000
2016 05 03 11 00 27   101.1    12.5   1.610   0.3   0.1   0.0  28.8  25.4   0.0 105 104   0  38  45  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.67     1.8681    0.004  12.6   1.5 119.5  101.87    83.0      -1.0000       0.0000
2016 05 03 11 05 27   103.4    12.1   1.609   0.3   0.1   0.0  29.2  26.2   0.0 108 105   0  40  44  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.67     1.8677    0.004  12.6   1.5 119.5  104.11    83.3      -1.0000       0.0000
2016 05 03 11 10 27   100.5    11.8   1.610   0.3   0.1   0.0  27.5  25.8   0.0 105 104   0  41  44  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.67     1.8697    0.003  12.6   1.5 119.5  101.19    83.3      -1.0000       0.0000
2016 05 03 11 15 27   101.6    11.0   1.610   0.3   0.1   0.0  27.5  24.5   0.0 104 103   0  40  46  25   0  261.6   2.8  -2.0  0.0  0.0  0.0  14.68     1.8693    0.004  12.4   1.5 119.5  102.19    83.8      -1.0000       0.0000
2016 05 03 11 20 27   101.3    11.8   1.610   0.3   0.1   0.0  28.0  25.4   0.0 104 103   0  39  44  24   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.67     1.8697    0.004  12.6   1.5 119.5  101.98    83.4      -1.0000       0.0000
2016 05 03 11 25 27   101.5    12.7   1.610   0.3   0.1   0.0  28.4  25.4   0.0 105 104   0  39  45  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.69     1.8717    0.003  12.6   1.5 119.5  102.29    82.9      -1.0000       0.0000
2016 05 03 11 30 27   100.8    11.7   1.609   0.3   0.1   0.0  28.4  24.5   0.0 105 104   0  39  47  25   0  261.6   2.8  -2.0  0.0  0.0  0.0  14.68     1.8693    0.003  12.6   1.5 119.5  101.48    83.4      -1.0000       0.0000
2016 05 03 11 35 27   101.6    12.1   1.608   0.3   0.1   0.0  28.4  26.2   0.0 105 104   0  39  43  26   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.68     1.8673    0.003  12.8   1.5 119.5  102.32    83.2      -1.0000       0.0000
2016 05 03 11 40 27   100.4    11.8   1.608   0.3   0.1   0.0  28.8  25.8   0.0 105 104   0  38  44  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.69     1.8681    0.003  12.8   1.5 119.5  101.09    83.3      -1.0000       0.0000
2016 05 03 11 45 27   101.1    11.9   1.607   0.3   0.1   0.0  28.4  25.4   0.0 105 104   0  39  45  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.68     1.8661    0.003  12.8   1.5 119.5  101.80    83.3      -1.0000       0.0000
2016 05 03 11 50 27   102.5    12.6   1.608   0.3   0.1   0.0  28.8  25.4   0.0 105 104   0  38  45  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.69     1.8673    0.003  12.8   1.5 119.5  103.27    83.0      -1.0000       0.0000
2016 05 03 11 55 27   101.6    12.3   1.608   0.3   0.1   0.0  28.4  25.4   0.0 105 104   0  39  45  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.68     1.8658    0.004  12.8   1.5 119.5  102.34    83.1      -1.0000       0.0000
2016 05 03 12 00 27   103.1    12.6   1.608   0.3   0.1   0.0  27.5  25.4   0.0 106 104   0  42  45  25   0  261.6   2.8  -2.0  0.0  0.0  0.0  14.69     1.8665    0.003  12.8   1.5 119.5  103.87    83.0      -1.0000       0.0000
2016 05 03 12 05 27   102.7    12.3   1.608   0.3   0.1   0.0  28.0  25.8   0.0 105 104   0  40  44  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.69     1.8650    0.004  12.8   1.5 119.5  103.43    83.2      -1.0000       0.0000
2016 05 03 12 10 27   101.9    11.9   1.607   0.3   0.1   0.0  28.4  24.9   0.0 105 104   0  39  46  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.69     1.8614    0.004  12.8   1.5 119.5  102.59    83.3      -1.0000       0.0000
2016 05 03 12 15 27   102.5    12.0   1.606   0.3   0.1   0.0  28.0  25.8   0.0 105 104   0  40  44  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.70     1.8622    0.002  12.8   1.5 119.5  103.20    83.3      -1.0000       0.0000
2016 05 03 12 20 27   101.1    12.3   1.606   0.3   0.1   0.0  28.0  25.4   0.0 105 104   0  40  45  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.70     1.8610    0.004  12.8   1.5 119.5  101.85    83.1      -1.0000       0.0000
2016 05 03 12 25 27   101.3    11.7   1.608   0.3   0.1   0.0  28.0  25.4   0.0 104 103   0  39  44  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.70     1.8614    0.003  12.8   1.5 119.5  101.97    83.4      -1.0000       0.0000
2016 05 03 12 30 27   101.1    12.1   1.608   0.3   0.1   0.0  28.4  25.8   0.0 105 104   0  39  44  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.70     1.8630    0.003  12.8   1.5 119.5  101.82    83.2      -1.0000       0.0000
2016 05 03 12 35 27   100.7    11.8   1.608   0.3   0.1   0.0  28.8  25.8   0.0 105 103   0  38  43  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.70     1.8630    0.003  12.6   1.5 119.5  101.39    83.3      -1.0000       0.0000
2016 05 03 12 40 27   100.3    12.1   1.609   0.3   0.1   0.0  28.8  24.9   0.0 105 104   0  38  46  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.71     1.8634    0.003  12.6   1.5 119.5  101.03    83.1      -1.0000       0.0000
2016 05 03 12 45 27   101.7    12.0   1.608   0.3   0.1   0.0  28.4  24.9   0.0 105 103   0  39  45  26   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.71     1.8614    0.003  12.6   1.5 119.5  102.41    83.3      -1.0000       0.0000
2016 05 03 12 50 27   100.6    12.4   1.607   0.3   0.1   0.0  28.0  25.4   0.0 103 103   0  38  44  25   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.71     1.8614    0.003  12.6   1.5 119.5  101.36    83.0      -1.0000       0.0000
2016 05 03 12 55 27   101.2    12.1   1.607   0.3   0.1   0.0  28.0  25.4   0.0 104 103   0  39  44  25   0  261.6   2.8  -2.0  0.0  0.0  0.0  14.71     1.8582    0.004  12.6   1.5 119.5  101.92    83.2      -1.0000       0.0000
2016 05 03 13 00 27   101.9    11.8   1.607   0.3   0.1   0.0  28.0  23.6   0.0 104 102   0  39  47  24   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.71     1.8574    0.003  12.6   1.5 119.5  102.58    83.4      -1.0000       0.0000
2016 05 03 13 05 27   100.6    12.9   1.608   0.3   0.1   0.0  27.5  23.6   0.0 103 102   0  39  47  26   0  261.5   2.8  -2.0  0.0  0.0  0.0  14.71     1.8590    0.003  12.6   1.5 119.5  101.42    82.7      -1.0000       0.0000
