Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2019 07 30 10 02 27    35.9    -6.8   0.960   0.3   0.1   0.0  30.1  25.4   0.0 103  90   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.05     0.9374    0.002  12.6   1.5 119.5   36.54   100.7      -1.0000       0.0000
2019 07 30 10 04 27    36.3    -7.5   0.956   0.3   0.1   0.0  29.7  24.9   0.0 102  90   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.05     0.9366    0.002  12.6   1.5 119.5   37.07   101.7      -1.0000       0.0000
2019 07 30 10 06 27    35.9    -6.3   0.952   0.3   0.1   0.0  29.7  24.9   0.0 102  90   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.04     0.9362    0.002  12.6   1.5 119.5   36.45   100.0      -1.0000       0.0000
2019 07 30 10 08 27    34.7    -6.8   0.953   0.3   0.1   0.0  30.5  25.4   0.0 103  91   0  32  32  28   0  255.3   4.0  -2.4  0.0  0.0  0.0  14.04     0.9358    0.003  12.6   1.5 119.5   35.36   101.1      -1.0000       0.0000
2019 07 30 10 10 27    35.2    -6.9   0.955   0.3   0.1   0.0  30.5  25.4   0.0 104  91   0  33  32  28   0  255.3   4.0  -2.4  0.0  0.0  0.0  14.04     0.9362    0.002  12.6   1.5 119.5   35.87   101.1      -1.0000       0.0000
2019 07 30 10 12 27    35.2    -7.4   0.953   0.3   0.1   0.0  30.5  26.7   0.0 104  93   0  33  31  30   0  255.3   4.0  -2.4  0.0  0.0  0.0  14.05     0.9366    0.002  12.6   1.5 119.5   35.97   101.9      -1.0000       0.0000
2019 07 30 10 14 27    36.1    -6.1   0.955   0.3   0.1   0.0  31.0  26.7   0.0 105  93   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.07     0.9374    0.002  12.6   1.5 119.5   36.61    99.6      -1.0000       0.0000
2019 07 30 10 16 27    35.9    -7.1   0.951   0.3   0.1   0.0  31.0  26.7   0.0 105  93   0  33  31  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.09     0.9374    0.001  12.6   1.5 119.5   36.60   101.2      -1.0000       0.0000
2019 07 30 10 18 27    36.7    -6.8   0.952   0.3   0.1   0.0  31.4  26.7   0.0 105  93   0  32  31  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.12     0.9370    0.002  12.6   1.5 119.5   37.32   100.5      -1.0000       0.0000
2019 07 30 10 20 27    35.8    -6.5   0.949   0.3   0.1   0.0  31.0  26.2   0.0 105  93   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.14     0.9358    0.003  12.6   1.5 119.5   36.39   100.3      -1.0000       0.0000
2019 07 30 10 22 27    35.5    -6.9   0.950   0.3   0.1   0.0  30.5  26.2   0.0 104  92   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.14     0.9347    0.003  12.6   1.5 119.5   36.16   101.0      -1.0000       0.0000
2019 07 30 10 24 27    37.0    -6.4   0.952   0.3   0.1   0.0  30.5  25.8   0.0 104  92   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.15     0.9347    0.003  12.6   1.5 119.5   37.55    99.8      -1.0000       0.0000
2019 07 30 10 26 27    36.6    -7.3   0.952   0.3   0.1   0.0  30.5  25.4   0.0 104  91   0  33  32  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.15     0.9347    0.003  12.6   1.5 119.5   37.32   101.3      -1.0000       0.0000
2019 07 30 10 28 27    35.4    -7.0   0.948   0.3   0.1   0.0  30.5  26.2   0.0 104  92   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.12     0.9327    0.003  12.6   1.5 119.5   36.09   101.2      -1.0000       0.0000
2019 07 30 10 30 27    35.2    -7.2   0.945   0.2   0.1   0.0  31.0  26.2   0.0 105  92   0  33  31  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.10     0.9327    0.003  13.0   1.5 119.5   35.93   101.6      -1.0000       0.0000
2019 07 30 10 32 27    35.6    -6.7   0.948   0.3   0.1   0.0  31.0  26.7   0.0 105  93   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.09     0.9315    0.004  13.4   1.5 119.5   36.22   100.7      -1.0000       0.0000
2019 07 30 10 34 27    34.9    -7.3   0.944   0.3   0.1   0.0  31.0  26.7   0.0 105  93   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.08     0.9311    0.003  13.6   1.5 119.5   35.66   101.8      -1.0000       0.0000
2019 07 30 10 36 27    34.5    -7.9   0.945   0.3   0.1   0.0  31.4  27.5   0.0 106  94   0  33  30  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.07     0.9315    0.004  13.8   1.5 119.5   35.39   102.9      -1.0000       0.0000
