Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2015 12 01 14 15 02    32.6     0.1   1.115   0.3   0.1   0.0  32.3  27.5   0.0 112 100   0  37  36  25   0  271.5   2.8  -1.6  0.0  0.0  0.0  22.36     1.3180    0.002  13.2   1.5 119.5   32.60    89.8      -1.0000       0.0000
2015 12 01 14 20 02    46.8     2.5   1.111   0.3   0.1   0.0  34.0  30.1   0.0 118 106   0  39  36  24   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.35     1.3153    0.006  13.2   1.5 119.5   46.87    86.9      -1.0000       0.0000
2015 12 01 14 25 02    32.7     2.2   1.116   0.3   0.1   0.0  30.5  28.8   0.0 110 103   0  39  36  24   0  271.3   2.8  -1.6  0.0  0.0  0.0  22.36     1.3244    0.002  13.2   1.5 119.5   32.77    86.2      -1.0000       0.0000
2015 12 01 14 30 02    47.9     3.1   1.118   0.3   0.1   0.0  33.5  30.1   0.0 119 107   0  41  37  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.36     1.3251    0.002  13.2   1.5 119.5   48.00    86.3      -1.0000       0.0000
2015 12 01 14 35 02    34.4     2.4   1.114   0.3   0.1   0.0  31.0  29.7   0.0 111 105   0  39  36  24   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.35     1.3216    0.003  13.2   1.5 119.5   34.48    86.0      -1.0000       0.0000
2015 12 01 14 40 02    30.7    -0.7   1.117   0.3   0.1   0.0  30.5  26.7   0.0 112  99   0  41  37  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.37     1.3251    0.002  13.2   1.5 119.5   30.71    91.3      -1.0000       0.0000
2015 12 01 14 45 02    38.3     3.4   1.121   0.3   0.1   0.0  31.8  30.1   0.0 111 105   0  37  35  24   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.37     1.3255    0.002  13.2   1.5 119.5   38.45    84.9      -1.0000       0.0000
2015 12 01 14 50 02    39.3     1.4   1.123   0.3   0.1   0.0  33.1  29.7   0.0 116 104   0  39  35  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.38     1.3259    0.003  13.2   1.5 119.5   39.32    88.0      -1.0000       0.0000
2015 12 01 14 55 02    51.3     3.0   1.125   0.3   0.1   0.0  34.0  30.1   0.0 121 107   0  42  37  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.39     1.3263    0.002  13.2   1.5 119.5   51.39    86.7      -1.0000       0.0000
2015 12 01 15 00 02    36.0     0.5   1.124   0.4   0.1   0.0  31.4  28.0   0.0 113 101   0  40  36  24   0  271.3   2.8  -1.6  0.0  0.0  0.0  22.39     1.3267    0.003  13.2   1.5 119.5   36.00    89.2      -1.0000       0.0000
2015 12 01 15 05 02    37.4     1.1   1.124   0.3   0.1   0.0  30.5  28.0   0.0 112 102   0  41  37  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.40     1.3279    0.003  13.2   1.5 119.5   37.42    88.3      -1.0000       0.0000
2015 12 01 15 10 02    36.0     0.1   1.124   0.3   0.1   0.0  31.4  28.4   0.0 114 102   0  41  36  24   0  271.3   2.8  -1.2  0.0  0.0  0.0  22.40     1.3255    0.002  13.2   1.5 119.5   36.00    89.8      -1.0000       0.0000
2015 12 01 15 15 02    57.3     6.9   1.124   0.3   0.1   0.0  34.0  31.0   0.0 120 109   0  41  37  24   0  271.3   2.8  -1.2  0.0  0.0  0.0  22.42     1.3251    0.002  13.2   1.5 119.5   57.71    83.1      -1.0000       0.0000
2015 12 01 15 20 02    65.3     8.0   1.125   0.3   0.1   0.0  36.1  32.3   0.0 125 111   0  41  36  24   0  271.3   2.8  -1.2  0.0  0.0  0.0  22.42     1.3255    0.002  13.2   1.5 119.5   65.79    83.0      -1.0000       0.0000
2015 12 01 15 25 02    82.6    16.0   1.128   0.3   0.1   0.0  36.1  35.3   0.0 126 117   0  42  35  23   0  271.3   2.8  -1.2  0.0  0.0  0.0  22.43     1.3259    0.002  13.2   1.5 119.5   84.14    79.0      -1.0000       0.0000
2015 12 01 15 30 02    81.7    15.0   1.130   0.3   0.1   0.0  37.0  34.4   0.0 127 117   0  41  37  23   0  271.3   2.8  -1.6  0.0  0.0  0.0  22.44     1.3271    0.003  13.2   1.5 119.5   83.07    79.6      -1.0000       0.0000
2015 12 01 15 35 02    72.0    12.6   1.130   0.3   0.1   0.0  35.3  34.4   0.0 124 114   0  42  34  25   0  271.3   2.8  -1.2  0.0  0.0  0.0  22.45     1.3287    0.003  13.2   1.5 119.5   73.09    80.1      -1.0000       0.0000
2015 12 01 15 40 02    82.3    15.7   1.132   0.3   0.1   0.0  37.0  35.3   0.0 126 116   0  40  34  24   0  271.3   2.8  -1.2  0.0  0.0  0.0  22.46     1.3303    0.002  13.2   1.5 119.5   83.78    79.2      -1.0000       0.0000
2015 12 01 15 45 02    82.1    15.8   1.132   0.3   0.1   0.0  36.5  34.4   0.0 125 115   0  40  35  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.47     1.3291    0.003  13.2   1.5 119.5   83.61    79.1      -1.0000       0.0000
2015 12 01 15 50 02    82.4    15.8   1.133   0.3   0.1   0.0  37.0  35.7   0.0 127 117   0  41  34  24   0  271.3   2.8  -1.2  0.0  0.0  0.0  22.48     1.3303    0.002  13.2   1.5 119.5   83.90    79.1      -1.0000       0.0000
2015 12 01 15 55 02    77.9    14.9   1.137   0.3   0.1   0.0  35.7  34.8   0.0 124 115   0  41  34  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.50     1.3335    0.003  13.2   1.5 119.5   79.31    79.2      -1.0000       0.0000
2015 12 01 16 00 02    78.6    14.5   1.135   0.3   0.1   0.0  35.7  34.0   0.0 124 114   0  41  35  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.51     1.3346    0.003  13.2   1.5 119.5   79.93    79.5      -1.0000       0.0000
2015 12 01 16 05 02    81.3    14.7   1.139   0.3   0.1   0.0  36.5  35.3   0.0 126 116   0  41  34  24   0  271.3   2.8  -1.2  0.0  0.0  0.0  22.52     1.3374    0.003  13.2   1.5 119.5   82.62    79.8      -1.0000       0.0000
2015 12 01 16 10 01    79.7    14.8   1.141   0.3   0.1   0.0  36.5  35.3   0.0 126 116   0  41  34  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.53     1.3382    0.003  13.2   1.5 119.5   81.06    79.5      -1.0000       0.0000
2015 12 01 16 15 02    79.1    14.5   1.141   0.3   0.1   0.0  37.4  35.3   0.0 126 116   0  39  34  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.54     1.3390    0.004  13.2   1.5 119.5   80.42    79.6      -1.0000       0.0000
2015 12 01 16 20 02    80.1    14.7   1.144   0.3   0.1   0.0  37.4  36.1   0.0 127 118   0  40  34  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.55     1.3394    0.003  13.2   1.5 119.5   81.44    79.6      -1.0000       0.0000
2015 12 01 16 25 02    79.9    14.6   1.149   0.3   0.1   0.0  37.0  35.3   0.0 127 117   0  41  35  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.56     1.3433    0.002  13.2   1.5 119.5   81.22    79.6      -1.0000       0.0000
2015 12 01 16 30 02    79.9    14.4   1.154   0.3   0.1   0.0  37.0  35.7   0.0 126 116   0  40  33  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.57     1.3493    0.002  13.2   1.5 119.5   81.19    79.8      -1.0000       0.0000
2015 12 01 16 35 02    79.6    14.9   1.157   0.3   0.1   0.0  37.8  35.7   0.0 127 117   0  39  34  25   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.59     1.3512    0.002  13.2   1.5 119.5   80.98    79.4      -1.0000       0.0000
2015 12 01 16 40 02    78.8    14.8   1.157   0.3   0.1   0.0  37.8  35.3   0.0 127 116   0  39  34  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.60     1.3516    0.002  13.2   1.5 119.5   80.18    79.4      -1.0000       0.0000
2015 12 01 16 45 02    68.2    11.6   1.160   0.3   0.1   0.0  36.5  33.5   0.0 125 113   0  40  35  25   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.60     1.3520    0.003  13.2   1.5 119.5   69.18    80.3      -1.0000       0.0000
2015 12 01 16 50 02    79.2    14.5   1.158   0.3   0.1   0.0  37.0  35.3   0.0 126 115   0  40  33  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.62     1.3512    0.002  13.2   1.5 119.5   80.52    79.6      -1.0000       0.0000
2015 12 01 16 55 02    63.6     7.2   1.158   0.3   0.1   0.0  37.0  33.5   0.0 125 111   0  39  33  24   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.62     1.3528    0.003  13.2   1.5 119.5   64.01    83.5      -1.0000       0.0000
2015 12 01 17 00 02    64.4     7.5   1.161   0.2   0.1   0.0  39.1  32.7   0.0 129 112   0  38  36  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.63     1.3548    0.003  13.2   1.5 119.5   64.84    83.4      -1.0000       0.0000
2015 12 01 17 05 02    68.6     9.9   1.164   0.3   0.1   0.0  37.0  34.8   0.0 126 114   0  40  33  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.64     1.3572    0.002  13.2   1.5 119.5   69.31    81.8      -1.0000       0.0000
2015 12 01 17 10 02    55.9     5.2   1.164   0.3   0.1   0.0  36.5  30.1   0.0 122 104   0  37  34  24   0  271.3   2.8  -1.2  0.0  0.0  0.0  22.65     1.3572    0.002  13.0   1.5 119.5   56.14    84.7      -1.0000       0.0000
2015 12 01 17 15 02    50.3     2.1   1.164   0.3   0.1   0.0  37.0  30.5   0.0 125 106   0  39  35  24   0  271.3   2.8  -1.2  0.0  0.0  0.0  22.65     1.3568    0.001  12.8   1.5 119.5   50.34    87.6      -1.0000       0.0000
2015 12 01 17 20 02    55.2     2.6   1.164   0.3   0.1   0.0  37.4  30.5   0.0 126 106   0  39  35  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.66     1.3572    0.002  12.8   1.5 119.5   55.26    87.3      -1.0000       0.0000
2015 12 01 17 25 02    75.8    12.6   1.162   0.3   0.1   0.0  37.8  34.0   0.0 128 115   0  40  36  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.67     1.3556    0.002  12.8   1.5 119.5   76.84    80.6      -1.0000       0.0000
2015 12 01 17 30 02    66.6     8.9   1.162   0.3   0.1   0.0  37.0  34.0   0.0 126 113   0  40  34  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.67     1.3568    0.002  12.8   1.5 119.5   67.19    82.4      -1.0000       0.0000
2015 12 01 17 35 02    72.8    12.0   1.161   0.3   0.1   0.0  37.8  34.4   0.0 126 115   0  38  35  24   0  271.3   2.8  -1.2  0.0  0.0  0.0  22.68     1.3556    0.003  12.8   1.5 119.5   73.78    80.6      -1.0000       0.0000
2015 12 01 17 40 02    49.3     3.8   1.163   0.3   0.1   0.0  34.4  31.0   0.0 119 106   0  39  34  24   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.68     1.3560    0.002  12.8   1.5 119.5   49.45    85.6      -1.0000       0.0000
2015 12 01 17 45 02    47.1     1.6   1.162   0.3   0.1   0.0  34.4  30.1   0.0 119 105   0  39  35  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.68     1.3528    0.003  12.8   1.5 119.5   47.13    88.1      -1.0000       0.0000
2015 12 01 17 50 02    45.1     3.4   1.163   0.3   0.1   0.0  32.7  30.1   0.0 116 106   0  40  36  25   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.69     1.3564    0.002  12.6   1.5 119.5   45.23    85.7      -1.0000       0.0000
2015 12 01 17 55 01    62.6     8.1   1.164   0.3   0.1   0.0  36.5  32.3   0.0 124 109   0  39  34  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.69     1.3572    0.002  12.6   1.5 119.5   63.12    82.6      -1.0000       0.0000
2015 12 01 18 00 01    56.9     4.9   1.162   0.3   0.1   0.0  35.3  31.4   0.0 123 108   0  41  35  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.69     1.3556    0.002  12.6   1.5 119.5   57.11    85.1      -1.0000       0.0000
2015 12 01 18 05 02    55.7     4.7   1.161   0.3   0.1   0.0  35.7  31.0   0.0 122 107   0  39  35  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.70     1.3552    0.003  12.6   1.5 119.5   55.90    85.2      -1.0000       0.0000
2015 12 01 18 10 02    63.2     8.1   1.161   0.3   0.1   0.0  36.1  32.3   0.0 124 109   0  40  34  24   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.70     1.3564    0.002  12.6   1.5 119.5   63.72    82.7      -1.0000       0.0000
2015 12 01 18 15 01    58.2     5.8   1.161   0.3   0.1   0.0  36.5  31.8   0.0 124 109   0  39  35  25   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.70     1.3544    0.003  12.6   1.5 119.5   58.49    84.3      -1.0000       0.0000
2015 12 01 18 20 02    48.4     2.7   1.157   0.3   0.1   0.0  34.0  31.0   0.0 120 106   0  41  34  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.70     1.3501    0.002  12.6   1.5 119.5   48.48    86.8      -1.0000       0.0000
2015 12 01 18 25 01    64.5     8.8   1.157   0.3   0.1   0.0  36.5  33.1   0.0 125 112   0  40  35  25   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.70     1.3501    0.003  12.6   1.5 119.5   65.10    82.2      -1.0000       0.0000
2015 12 01 18 30 01    48.4     1.8   1.157   0.3   0.1   0.0  35.3  30.5   0.0 123 105   0  41  34  24   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.71     1.3489    0.002  12.6   1.5 119.5   48.43    87.9      -1.0000       0.0000
2015 12 01 18 35 01    62.1     7.3   1.158   0.3   0.1   0.0  37.0  32.3   0.0 127 110   0  41  35  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.71     1.3493    0.002  12.6   1.5 119.5   62.53    83.3      -1.0000       0.0000
2015 12 01 18 40 01    68.3     9.3   1.155   0.3   0.1   0.0  37.0  33.5   0.0 126 113   0  40  35  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.71     1.3493    0.002  12.6   1.5 119.5   68.93    82.2      -1.0000       0.0000
2015 12 01 18 45 01    51.3     4.1   1.157   0.3   0.1   0.0  34.4  31.0   0.0 120 107   0  40  35  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.71     1.3493    0.002  12.6   1.5 119.5   51.46    85.4      -1.0000       0.0000
2015 12 01 18 50 01    62.8     7.5   1.156   0.3   0.1   0.0  34.4  31.8   0.0 125 111   0  45  37  24   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.71     1.3493    0.002  12.6   1.5 119.5   63.25    83.2      -1.0000       0.0000
2015 12 01 18 55 01    50.8     2.8   1.152   0.3   0.1   0.0  35.7  30.1   0.0 122 106   0  39  36  24   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.71     1.3497    0.002  12.6   1.5 119.5   50.88    86.8      -1.0000       0.0000
2015 12 01 19 00 01    46.1     2.0   1.153   0.3   0.1   0.0  34.4  29.7   0.0 119 105   0  39  36  25   0  271.4   2.8  -1.6  0.0  0.0  0.0  22.71     1.3501    0.002  12.4   1.5 119.5   46.14    87.5      -1.0000       0.0000
2015 12 01 19 05 01    40.5    -0.2   1.151   0.3   0.1   0.0  33.5  28.8   0.0 118 103   0  40  36  24   0  271.4   2.8  -1.2  0.0  0.0  0.0  22.71     1.3493    0.002  12.4   1.5 119.5   40.50    90.3      -1.0000       0.0000
