Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2019 08 15 16 43 59    35.7    -0.1   1.253   0.3   0.1   0.0  34.8  30.1   0.0 115 100   0  34  30  33   0  254.3   2.4  -2.0  0.0  0.0  0.0  12.16     1.2744    0.004  13.4   1.5 119.5   35.70    90.2      -1.0000       0.0000
2019 08 15 16 45 59    36.5    -0.2   1.254   0.2   0.0   0.0  34.8  30.1   0.0 114 100   0  33  30  29   0  254.3   2.4  -2.0  0.0  0.0  0.0  12.16     1.2740    0.003  13.4   1.5 119.5   36.50    90.3      -1.0000       0.0000
2019 08 15 16 47 59    35.7    -0.9   1.255   0.2   0.0   0.0  34.8  30.1   0.0 114 100   0  33  30  30   0  254.4   2.4  -2.0  0.0  0.0  0.0  12.16     1.2751    0.003  13.4   1.5 119.5   35.71    91.4      -1.0000       0.0000
2019 08 15 16 49 59    35.6    -0.4   1.253   0.2   0.0   0.0  34.8  30.1   0.0 114 100   0  33  30  30   0  254.4   2.4  -2.0  0.0  0.0  0.0  12.16     1.2744    0.003  13.4   1.5 119.5   35.60    90.6      -1.0000       0.0000
2019 08 15 16 51 59    35.0    -0.3   1.255   0.3   0.1   0.0  34.8  30.1   0.0 114 100   0  33  30  29   0  254.4   2.8  -2.0  0.0  0.0  0.0  12.16     1.2740    0.004  13.4   1.5 119.5   35.00    90.5      -1.0000       0.0000
2019 08 15 16 53 59    36.5    -0.2   1.253   0.3   0.1   0.0  34.8  30.1   0.0 114 100   0  33  30  30   0  254.3   2.8  -2.0  0.0  0.0  0.0  12.16     1.2736    0.003  13.4   1.5 119.5   36.50    90.3      -1.0000       0.0000
2019 08 15 16 55 59    36.3    -0.3   1.250   0.2   0.0   0.0  34.8  30.1   0.0 114 100   0  33  30  29   0  254.4   2.8  -2.0  0.0  0.0  0.0  12.16     1.2728    0.002  13.4   1.5 119.5   36.30    90.5      -1.0000       0.0000
2019 08 15 16 57 59    37.2     0.0   1.252   0.2   0.1   0.0  34.4  29.7   0.0 113  99   0  33  30  30   0  254.4   2.4  -2.0  0.0  0.0  0.0  12.16     1.2728    0.003  13.2   1.5 119.5   37.20    90.0      -1.0000       0.0000
2019 08 15 16 59 59    36.9    -0.3   1.253   0.2   0.0   0.0  34.0  29.2   0.0 112  98   0  33  30  30   0  254.4   2.8  -2.0  0.0  0.0  0.0  12.17     1.2736    0.002  12.8   1.5 119.5   36.90    90.5      -1.0000       0.0000
2019 08 15 17 01 59    36.1    -0.8   1.253   0.2   0.1   0.0  34.0  29.2   0.0 112  98   0  33  30  29   0  254.3   2.8  -2.0  0.0  0.0  0.0  12.17     1.2736    0.004  12.8   1.5 119.5   36.11    91.3      -1.0000       0.0000
