2019 09 17 20 34 01     0.0     0.3  -1.000   0.2   0.0   0.0  18.5  26.7   0.0  77  94   0  34  32  36   0  265.9 -10.0 -24.0  0.0  0.0  0.0  16.70     1.2526    0.003  12.6   1.5  44.5    0.30     0.0      -1.0000       0.0000
2019 09 17 20 49 01     0.4     0.1  -1.000   0.2   0.0   0.0  18.5  26.2   0.0  78  94   0  35  33  37   0  265.5 -10.0 -24.0  0.0  0.0  0.0  16.71     1.2526    0.002  12.6   1.5  44.0    0.41    76.0      -1.0000       0.0000
2019 09 17 21 04 01     0.4     0.1   1.130   0.2   0.0   0.0  17.6  25.4   0.0  74  91   0  33  32  36   0  265.8 -10.0 -24.0  0.0  0.0  0.0  16.71     1.2494    0.003  12.6   1.5  47.5    0.41    76.0      -1.0000       0.0000
2019 09 17 21 19 01     0.5     0.2  -1.000   0.2   0.0   0.0  18.5  25.8   0.0  77  93   0  34  33  35   0  265.7 -10.0 -24.0  0.0  0.0  0.0  16.71     1.2483    0.003  12.4   1.5  46.0    0.54    68.2      -1.0000       0.0000
2019 09 17 21 34 01     0.9     0.3   1.150   0.2   0.0   0.0  18.5  27.1   0.0  78  95   0  35  32  36   0  265.5 -10.0 -24.0  0.0  0.0  0.0  16.72     1.2443    0.003  12.4   1.5  44.5    0.95    71.6      -1.0000       0.0000
2019 09 17 21 49 01     0.8     0.7  -1.000   0.2   0.0   0.0  18.5  26.7   0.0  77  93   0  34  31  36   0  265.7 -10.0 -24.0  0.0  0.0  0.0  16.72     1.2419    0.002  12.4   1.5  46.0    1.06    48.8      -1.0000       0.0000
2019 09 17 22 04 01     1.3     0.6  -1.000   0.2   0.0   0.0  18.5  25.8   0.0  77  92   0  34  32  37   0  265.8 -10.0 -24.0  0.0  0.0  0.0  16.73     1.2407    0.003  12.4   1.5  46.5    1.43    65.2      -1.0000       0.0000
2019 09 17 22 19 01     0.6     0.3  -1.000   0.2   0.0   0.0  18.5  25.4   0.0  75  91   0  32  32  36   0  265.7 -10.0 -24.0  0.0  0.0  0.0  16.73     1.2376    0.003  12.4   1.5  48.0    0.67    63.4      -1.0000       0.0000
2019 09 17 22 34 01     1.6     0.2  -1.000   0.2   0.0   0.0  18.1  24.9   0.0  75  91   0  33  33  36   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.73     1.2431    0.003  12.4   1.5  48.0    1.61    82.9      -1.0000       0.0000
2019 09 17 22 49 01     0.8     0.7  -1.000   0.2   0.0   0.0  18.5  26.7   0.0  78  93   0  35  31  37   0  265.9 -10.0 -24.0  0.0  0.0  0.0  16.72     1.2388    0.003  12.4   1.5  44.5    1.06    48.8      -1.0000       0.0000
