Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2015 12 11 07 44 44    65.7     6.9   1.131   0.3   0.1   0.0  29.7  28.0   0.0 102  98   0  33  33  24   0  270.8   2.8  -2.4  0.0  0.0  0.0  22.91     1.2702    0.003  12.4   1.5 119.5   66.06    84.0      -1.0000       0.0000
2015 12 11 07 49 44    61.0     5.7   1.131   0.3   0.1   0.0  29.7  28.0   0.0 101  98   0  32  33  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  22.90     1.2706    0.003  12.4   1.5 119.5   61.27    84.7      -1.0000       0.0000
2015 12 11 07 54 45    58.0     5.5   1.131   0.3   0.1   0.0  29.2  28.0   0.0 101  98   0  33  33  25   0  270.7   2.8  -2.4  0.0  0.0  0.0  22.90     1.2706    0.003  12.4   1.5 119.5   58.26    84.6      -1.0000       0.0000
2015 12 11 07 59 45    56.9     4.2   1.130   0.3   0.1   0.0  29.7  28.0   0.0 102  98   0  33  33  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  22.89     1.2686    0.002  12.6   1.5 119.5   57.05    85.8      -1.0000       0.0000
2015 12 11 08 04 45    50.2     2.1   1.129   0.3   0.1   0.0  29.2  28.4   0.0 102  99   0  34  33  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  22.89     1.2682    0.002  12.8   1.5 119.5   50.24    87.6      -1.0000       0.0000
2015 12 11 08 09 45    57.0     6.6   1.126   0.3   0.1   0.0  29.7  28.0   0.0 102  99   0  33  34  24   0  270.8   2.8  -2.4  0.0  0.0  0.0  22.89     1.2642    0.003  12.8   1.5 119.5   57.38    83.4      -1.0000       0.0000
2015 12 11 08 14 45    58.6     5.1   1.125   0.3   0.1   0.0  29.7  29.2   0.0 103 100   0  34  32  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  22.89     1.2635    0.003  13.0   1.5 119.5   58.82    85.0      -1.0000       0.0000
2015 12 11 08 19 45    60.7     6.9   1.126   0.3   0.1   0.0  30.1  28.8   0.0 104 100   0  34  33  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  22.89     1.2635    0.003  13.0   1.5 119.5   61.09    83.5      -1.0000       0.0000
2015 12 11 08 24 45    61.8     7.0   1.119   0.3   0.1   0.0  30.1  28.8   0.0 103 100   0  33  33  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  22.89     1.2595    0.003  13.0   1.5 119.5   62.20    83.5      -1.0000       0.0000
2015 12 11 08 29 45    58.3     4.5   1.123   0.3   0.1   0.0  30.1  28.8   0.0 103  99   0  33  32  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  22.89     1.2615    0.002  13.0   1.5 119.5   58.47    85.6      -1.0000       0.0000
2015 12 11 08 34 45    64.4     6.5   1.116   0.3   0.1   0.0  30.1  28.8   0.0 103 100   0  33  33  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  22.89     1.2603    0.003  13.0   1.5 119.5   64.73    84.2      -1.0000       0.0000
2015 12 11 08 39 45    65.6     8.2   1.119   0.3   0.1   0.0  29.7  28.8   0.0 103 101   0  34  34  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  22.89     1.2603    0.003  13.0   1.5 119.5   66.11    82.9      -1.0000       0.0000
2015 12 11 08 44 45    67.6     7.2   1.112   0.3   0.1   0.0  29.7  28.8   0.0 103 100   0  34  33  24   0  270.7   2.8  -2.4  0.0  0.0  0.0  22.90     1.2579    0.003  13.2   1.5 119.5   67.98    83.9      -1.0000       0.0000
